canonical_column,source_family_file,column,family,feature,version,segment,missing_rate,non_null_count
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_greens,raw,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_greens,raw,14dhist,0.5180174357648614,33559
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_greens:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_greens:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_greens,raw,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_living:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_living,raw,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_living:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_living,raw,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_living:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_living,raw,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_living:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_living,raw,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_living:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_living,raw,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_living:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_living,raw,14dhist,0.561965904031482,30499
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_living:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_living:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_living,raw,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_study:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_study,raw,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_study:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_study,raw,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_study:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_study,raw,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_study:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_study,raw,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_study:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_study,raw,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_study:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_study,raw,14dhist,0.5699943987246326,29940
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_study:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_study:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_study,raw,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_home:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_home,raw,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_home:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_home,raw,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_home:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_home,raw,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_home:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_home,raw,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_home:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_home,raw,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_home:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_home,raw,14dhist,0.24394272336880807,52642
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_home:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_home:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_home,raw,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_countepisodeunlock_dis:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_dis:14dhist,f_screen,phone_screen_rapids_countepisodeunlock,dis,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_sumdurationunlock_dis:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_dis:14dhist,f_screen,phone_screen_rapids_sumdurationunlock,dis,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_maxdurationunlock_dis:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_dis:14dhist,f_screen,phone_screen_rapids_maxdurationunlock,dis,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_mindurationunlock_dis:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_dis:14dhist,f_screen,phone_screen_rapids_mindurationunlock,dis,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_avgdurationunlock_dis:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_dis:14dhist,f_screen,phone_screen_rapids_avgdurationunlock,dis,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_stddurationunlock_dis:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_dis:14dhist,f_screen,phone_screen_rapids_stddurationunlock,dis,14dhist,0.2160799689775518,54582
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_dis:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_dis:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock,dis,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_exercise,dis,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_exercise,dis,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_exercise,dis,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_exercise,dis,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_exercise,dis,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_exercise,dis,14dhist,0.5941660562712741,28257
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_exercise_dis:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_exercise_dis:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_exercise,dis,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_greens,dis,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_greens,dis,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_greens,dis,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_greens,dis,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_greens,dis,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_greens,dis,14dhist,0.5180174357648614,33559
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_greens_dis:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_greens_dis:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_greens,dis,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_living,dis,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_living,dis,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_living,dis,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_living,dis,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_living,dis,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_living,dis,14dhist,0.561965904031482,30499
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_living_dis:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_living_dis:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_living,dis,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_study,dis,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_study,dis,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_study,dis,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_study,dis,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_study,dis,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_study,dis,14dhist,0.5699943987246326,29940
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_study_dis:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_study_dis:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_study,dis,14dhist,0.5488675370186853,31411
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_home,dis,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_home,dis,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_home,dis,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_home,dis,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_home,dis,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_home,dis,14dhist,0.24394272336880807,52642
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_home_dis:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_home_dis:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_home,dis,14dhist,0.24319588665316616,52694
screen__f_screen:phone_screen_rapids_countepisodeunlock_norm:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_norm:14dhist,f_screen,phone_screen_rapids_countepisodeunlock,norm,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_sumdurationunlock_norm:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_norm:14dhist,f_screen,phone_screen_rapids_sumdurationunlock,norm,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_maxdurationunlock_norm:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_norm:14dhist,f_screen,phone_screen_rapids_maxdurationunlock,norm,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_mindurationunlock_norm:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_norm:14dhist,f_screen,phone_screen_rapids_mindurationunlock,norm,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_avgdurationunlock_norm:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_norm:14dhist,f_screen,phone_screen_rapids_avgdurationunlock,norm,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_stddurationunlock_norm:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_norm:14dhist,f_screen,phone_screen_rapids_stddurationunlock,norm,14dhist,0.2160799689775518,54582
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_norm:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_norm:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock,norm,14dhist,0.21553420368535195,54620
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_exercise,norm,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_exercise,norm,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_exercise,norm,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_exercise,norm,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_exercise,norm,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_exercise,norm,14dhist,0.5941660562712741,28257
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_exercise_norm:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_exercise_norm:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_exercise,norm,14dhist,0.5513809298117109,31236
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_greens,norm,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_greens,norm,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_greens,norm,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_mindurationunlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_mindurationunlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_mindurationunlock_locmap_greens,norm,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_avgdurationunlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_avgdurationunlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_avgdurationunlock_locmap_greens,norm,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_stddurationunlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_stddurationunlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_stddurationunlock_locmap_greens,norm,14dhist,0.5180174357648614,33559
screen__f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_greens_norm:14dhist,screen,f_screen:phone_screen_rapids_firstuseafter00unlock_locmap_greens_norm:14dhist,f_screen,phone_screen_rapids_firstuseafter00unlock_locmap_greens,norm,14dhist,0.4989587372714608,34886
screen__f_screen:phone_screen_rapids_countepisodeunlock_locmap_living_norm:14dhist,screen,f_screen:phone_screen_rapids_countepisodeunlock_locmap_living_norm:14dhist,f_screen,phone_screen_rapids_countepisodeunlock_locmap_living,norm,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_sumdurationunlock_locmap_living_norm:14dhist,screen,f_screen:phone_screen_rapids_sumdurationunlock_locmap_living_norm:14dhist,f_screen,phone_screen_rapids_sumdurationunlock_locmap_living,norm,14dhist,0.5431226392060551,31811
screen__f_screen:phone_screen_rapids_maxdurationunlock_locmap_living_norm:14dhist,screen,f_screen:phone_screen_rapids_maxdurationunlock_locmap_living_norm:14dhist,f_screen,phone_screen_rapids_maxdurationunlock_locmap_living,norm,14dhist,0.5431226392060551,31811
