target,horizon,issue_time,model,feature
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_count__yesterday
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_count__roll7_mean
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_count__roll14_mean
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_count__roll42_mean
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_count__roll42_std
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:afternoon
screen_unlock_count,tomorrow,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:evening
screen_unlock_count,next_week,morning,calendar_only,weekday
screen_unlock_count,next_week,morning,calendar_only,is_weekend
screen_unlock_count,next_week,morning,calendar_only,study_day
screen_unlock_count,next_week,morning,recent_history_only,weekday
screen_unlock_count,next_week,morning,recent_history_only,is_weekend
screen_unlock_count,next_week,morning,recent_history_only,study_day
screen_unlock_count,next_week,morning,recent_history_only,screen_unlock_count__yesterday
screen_unlock_count,next_week,morning,recent_history_only,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,morning,recent_history_only,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,morning,fingerprint_42d_only,weekday
screen_unlock_count,next_week,morning,fingerprint_42d_only,is_weekend
screen_unlock_count,next_week,morning,fingerprint_42d_only,study_day
screen_unlock_count,next_week,morning,fingerprint_42d_only,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,morning,fingerprint_42d_only,screen_unlock_count__roll42_std
screen_unlock_count,next_week,morning,today_partial_only,weekday
screen_unlock_count,next_week,morning,today_partial_only,is_weekend
screen_unlock_count,next_week,morning,today_partial_only,study_day
screen_unlock_count,next_week,morning,today_partial_only,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,next_week,morning,history_plus_fingerprint,weekday
screen_unlock_count,next_week,morning,history_plus_fingerprint,is_weekend
screen_unlock_count,next_week,morning,history_plus_fingerprint,study_day
screen_unlock_count,next_week,morning,history_plus_fingerprint,screen_unlock_count__yesterday
screen_unlock_count,next_week,morning,history_plus_fingerprint,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,morning,history_plus_fingerprint,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,morning,history_plus_fingerprint,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,morning,history_plus_fingerprint,screen_unlock_count__roll42_std
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,weekday
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,is_weekend
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,study_day
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,screen_unlock_count__yesterday
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,screen_unlock_count__roll42_std
screen_unlock_count,next_week,morning,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,next_week,afternoon,calendar_only,weekday
screen_unlock_count,next_week,afternoon,calendar_only,is_weekend
screen_unlock_count,next_week,afternoon,calendar_only,study_day
screen_unlock_count,next_week,afternoon,recent_history_only,weekday
screen_unlock_count,next_week,afternoon,recent_history_only,is_weekend
screen_unlock_count,next_week,afternoon,recent_history_only,study_day
screen_unlock_count,next_week,afternoon,recent_history_only,screen_unlock_count__yesterday
screen_unlock_count,next_week,afternoon,recent_history_only,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,afternoon,recent_history_only,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,weekday
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,is_weekend
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,study_day
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,afternoon,fingerprint_42d_only,screen_unlock_count__roll42_std
screen_unlock_count,next_week,afternoon,today_partial_only,weekday
screen_unlock_count,next_week,afternoon,today_partial_only,is_weekend
screen_unlock_count,next_week,afternoon,today_partial_only,study_day
screen_unlock_count,next_week,afternoon,today_partial_only,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,next_week,afternoon,today_partial_only,f_screen:phone_screen_rapids_countepisodeunlock:afternoon
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,weekday
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,is_weekend
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,study_day
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,screen_unlock_count__yesterday
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,afternoon,history_plus_fingerprint,screen_unlock_count__roll42_std
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,weekday
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,is_weekend
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,study_day
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,screen_unlock_count__yesterday
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,screen_unlock_count__roll42_std
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,next_week,afternoon,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:afternoon
screen_unlock_count,next_week,evening,calendar_only,weekday
screen_unlock_count,next_week,evening,calendar_only,is_weekend
screen_unlock_count,next_week,evening,calendar_only,study_day
screen_unlock_count,next_week,evening,recent_history_only,weekday
screen_unlock_count,next_week,evening,recent_history_only,is_weekend
screen_unlock_count,next_week,evening,recent_history_only,study_day
screen_unlock_count,next_week,evening,recent_history_only,screen_unlock_count__yesterday
screen_unlock_count,next_week,evening,recent_history_only,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,evening,recent_history_only,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,evening,fingerprint_42d_only,weekday
screen_unlock_count,next_week,evening,fingerprint_42d_only,is_weekend
screen_unlock_count,next_week,evening,fingerprint_42d_only,study_day
screen_unlock_count,next_week,evening,fingerprint_42d_only,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,evening,fingerprint_42d_only,screen_unlock_count__roll42_std
screen_unlock_count,next_week,evening,today_partial_only,weekday
screen_unlock_count,next_week,evening,today_partial_only,is_weekend
screen_unlock_count,next_week,evening,today_partial_only,study_day
screen_unlock_count,next_week,evening,today_partial_only,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,next_week,evening,today_partial_only,f_screen:phone_screen_rapids_countepisodeunlock:afternoon
screen_unlock_count,next_week,evening,today_partial_only,f_screen:phone_screen_rapids_countepisodeunlock:evening
screen_unlock_count,next_week,evening,history_plus_fingerprint,weekday
screen_unlock_count,next_week,evening,history_plus_fingerprint,is_weekend
screen_unlock_count,next_week,evening,history_plus_fingerprint,study_day
screen_unlock_count,next_week,evening,history_plus_fingerprint,screen_unlock_count__yesterday
screen_unlock_count,next_week,evening,history_plus_fingerprint,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,evening,history_plus_fingerprint,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,evening,history_plus_fingerprint,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,evening,history_plus_fingerprint,screen_unlock_count__roll42_std
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,weekday
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,is_weekend
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,study_day
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,screen_unlock_count__yesterday
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,screen_unlock_count__roll7_mean
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,screen_unlock_count__roll14_mean
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,screen_unlock_count__roll42_mean
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,screen_unlock_count__roll42_std
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:morning
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:afternoon
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_countepisodeunlock:evening
screen_unlock_duration,tomorrow,morning,calendar_only,weekday
screen_unlock_duration,tomorrow,morning,calendar_only,is_weekend
screen_unlock_duration,tomorrow,morning,calendar_only,study_day
screen_unlock_duration,tomorrow,morning,recent_history_only,weekday
screen_unlock_duration,tomorrow,morning,recent_history_only,is_weekend
screen_unlock_duration,tomorrow,morning,recent_history_only,study_day
screen_unlock_duration,tomorrow,morning,recent_history_only,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,morning,recent_history_only,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,morning,recent_history_only,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,weekday
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,is_weekend
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,study_day
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,morning,today_partial_only,weekday
screen_unlock_duration,tomorrow,morning,today_partial_only,is_weekend
screen_unlock_duration,tomorrow,morning,today_partial_only,study_day
screen_unlock_duration,tomorrow,morning,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,weekday
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,is_weekend
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,study_day
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,weekday
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,is_weekend
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,study_day
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,tomorrow,afternoon,calendar_only,weekday
screen_unlock_duration,tomorrow,afternoon,calendar_only,is_weekend
screen_unlock_duration,tomorrow,afternoon,calendar_only,study_day
screen_unlock_duration,tomorrow,afternoon,recent_history_only,weekday
screen_unlock_duration,tomorrow,afternoon,recent_history_only,is_weekend
screen_unlock_duration,tomorrow,afternoon,recent_history_only,study_day
screen_unlock_duration,tomorrow,afternoon,recent_history_only,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,afternoon,recent_history_only,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,afternoon,recent_history_only,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,weekday
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,is_weekend
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,study_day
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,afternoon,today_partial_only,weekday
screen_unlock_duration,tomorrow,afternoon,today_partial_only,is_weekend
screen_unlock_duration,tomorrow,afternoon,today_partial_only,study_day
screen_unlock_duration,tomorrow,afternoon,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,tomorrow,afternoon,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:afternoon
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,weekday
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,is_weekend
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,study_day
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,weekday
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,is_weekend
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,study_day
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,f_screen:phone_screen_rapids_sumdurationunlock:afternoon
screen_unlock_duration,tomorrow,evening,calendar_only,weekday
screen_unlock_duration,tomorrow,evening,calendar_only,is_weekend
screen_unlock_duration,tomorrow,evening,calendar_only,study_day
screen_unlock_duration,tomorrow,evening,recent_history_only,weekday
screen_unlock_duration,tomorrow,evening,recent_history_only,is_weekend
screen_unlock_duration,tomorrow,evening,recent_history_only,study_day
screen_unlock_duration,tomorrow,evening,recent_history_only,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,evening,recent_history_only,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,evening,recent_history_only,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,weekday
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,is_weekend
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,study_day
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,evening,today_partial_only,weekday
screen_unlock_duration,tomorrow,evening,today_partial_only,is_weekend
screen_unlock_duration,tomorrow,evening,today_partial_only,study_day
screen_unlock_duration,tomorrow,evening,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,tomorrow,evening,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:afternoon
screen_unlock_duration,tomorrow,evening,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:evening
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,weekday
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,is_weekend
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,study_day
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,weekday
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,is_weekend
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,study_day
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_duration__yesterday
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_duration__roll7_mean
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_duration__roll14_mean
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_duration__roll42_mean
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,screen_unlock_duration__roll42_std
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_sumdurationunlock:afternoon
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,f_screen:phone_screen_rapids_sumdurationunlock:evening
screen_unlock_duration,next_week,morning,calendar_only,weekday
screen_unlock_duration,next_week,morning,calendar_only,is_weekend
screen_unlock_duration,next_week,morning,calendar_only,study_day
screen_unlock_duration,next_week,morning,recent_history_only,weekday
screen_unlock_duration,next_week,morning,recent_history_only,is_weekend
screen_unlock_duration,next_week,morning,recent_history_only,study_day
screen_unlock_duration,next_week,morning,recent_history_only,screen_unlock_duration__yesterday
screen_unlock_duration,next_week,morning,recent_history_only,screen_unlock_duration__roll7_mean
screen_unlock_duration,next_week,morning,recent_history_only,screen_unlock_duration__roll14_mean
screen_unlock_duration,next_week,morning,fingerprint_42d_only,weekday
screen_unlock_duration,next_week,morning,fingerprint_42d_only,is_weekend
screen_unlock_duration,next_week,morning,fingerprint_42d_only,study_day
screen_unlock_duration,next_week,morning,fingerprint_42d_only,screen_unlock_duration__roll42_mean
screen_unlock_duration,next_week,morning,fingerprint_42d_only,screen_unlock_duration__roll42_std
screen_unlock_duration,next_week,morning,today_partial_only,weekday
screen_unlock_duration,next_week,morning,today_partial_only,is_weekend
screen_unlock_duration,next_week,morning,today_partial_only,study_day
screen_unlock_duration,next_week,morning,today_partial_only,f_screen:phone_screen_rapids_sumdurationunlock:morning
screen_unlock_duration,next_week,morning,history_plus_fingerprint,weekday
